GPSTime,easting,northing,altitude,vel_east,vel_north,vel_up,roll,pitch,heading,angvel_z,angvel_y,angvel_x
1630597755416298264,-1298.5609794092743,1017.9689357561932,1.6446232990442136,-3.051489472540447,2.192356705694268,0.030901107231735975,0.02212265614903923,-0.03897919160730034,-1.7245405086515446,-0.012535311718157138,0.00757555106345747,-0.002681553868962573
1630597755519939915,-1298.8849718179235,1018.2031579236854,1.6476685931571096,-3.1970185385259366,2.3314899950404504,0.026634992005093762,0.022578987123699906,-0.03908358997591231,-1.7231238435471565,-0.01692092616294863,0.011123388977445652,0.01282296115752914
1630597755623578255,-1299.226001248293,1018.4526661680821,1.6493788016308808,-3.410042004559659,2.4276136899694167,0.013516757497382941,0.02527984304358941,-0.039821960775702145,-1.7214094594743277,-0.01477987023231212,-0.03743253871790575,-0.08203659762465851
1630597755727301539,-1299.5865356266945,1018.7151912501813,1.6517689957528492,-3.562096425844176,2.5900488461999958,0.026220969716099444,0.02645057563608491,-0.03821433137327105,-1.7195773830466738,-0.01816186910677593,-0.005299280592244304,-0.03273302436315302
1630597755831055915,-1299.9660136087234,1018.9895021889482,1.6512817802848134,-3.7561735857756045,2.7014247792357033,-0.029153016954797693,0.02571542086160327,-0.03747556667542902,-1.7172925712409484,-0.026838887907933776,-0.0011913658409152938,-0.0200134687015004
1630597755934714255,-1300.3640365413078,1019.2760905766179,1.6483888158553153,-3.9269741364200152,2.8283606426333376,-0.02078016496694161,0.024572260986526998,-0.03670189676922302,-1.7148523252926167,-0.02662448789867896,-0.018288866391737765,-0.0065466611884901155
1630597756038455300,-1300.7801442064274,1019.5769456500699,1.6474521062798977,-4.093985266176858,2.975386523580967,0.006462396863580879,0.022242631831379388,-0.03570542812619479,-1.7118945497630724,-0.02719985246153729,-0.01876194227406746,-0.013308671156080486
1630597756142200585,-1301.2118046304283,1019.8947622548192,1.6491336114735362,-4.222523676905379,3.139234799804776,0.005505889555434071,0.02103170534120283,-0.036091645340082294,-1.7088440699017469,-0.035036985507945796,-0.000562295193934137,0.03294088345364238
1630597756245935300,-1301.6588552446499,1020.2284041718436,1.6511587371348861,-4.390620895138708,3.2883733083452116,0.014846821898988517,0.0201766515808627,-0.03803526286828086,-1.7053030242492393,-0.04103345925317732,0.0013917902650656191,0.027838055814199014
1630597756349747300,-1302.1232923997961,1020.5756533039049,1.651477832455714,-4.56462663824722,3.3850125817377665,-0.010066470733109692,0.016940609396028167,-0.03995428662810096,-1.7010648214375284,-0.04152119250559282,-0.08126795795062337,-0.012426962972930854
1630597756453478915,-1302.6054554656844,1020.9360282434145,1.6504670868553677,-4.733297375316346,3.5611414503893597,-0.004987950131538338,0.011832042811772348,-0.04174989950794243,-1.6961101945347419,-0.04874835987979401,-0.03441746782530977,0.007847530979840674
1630597756557218539,-1303.1061862062597,1021.3148580543568,1.6520541144010084,-4.916405421542302,3.741234905788131,0.03505581993593831,0.009276399471714122,-0.04204840579808046,-1.6906977667542733,-0.054665527837268635,-0.011097901025705304,-0.004512674852984757
1630597756661050210,-1303.6242178232903,1021.7119744037477,1.6582425500820626,-5.049501713204612,3.915424415864193,0.0830371746433287,0.007620079267144806,-0.040066876933661635,-1.6849926331923135,-0.05306685699459626,0.00626253763247729,-0.011471675860171117
1630597756764771925,-1304.15262801152,1022.124133157041,1.668749763390309,-5.133869623963054,4.026486429825317,0.11654162985728826,0.007948587781237929,-0.037803157079904635,-1.678842775320317,-0.059609289362192584,-0.0019115022372755471,-0.02112190305282765
1630597756868493539,-1304.6879073596447,1022.5495632961506,1.6793690869089815,-5.174274007482165,4.189868730641677,0.07763779163784548,0.009020540414428005,-0.03641861175978882,-1.6721998599219277,-0.0629961295647432,0.052358010687862826,0.027950667656986693
1630597756972309960,-1305.2295295317574,1022.9900054602792,1.6851391804455043,-5.245448813829089,4.31395965519524,0.03228597765037259,0.010565821418195306,-0.03686546342622109,-1.6658163379362738,-0.06077539409088288,0.017807957102565063,0.02586847420332107
1630597757076023580,-1305.7814835715064,1023.4434880305246,1.6878669273779012,-5.43175860698816,4.444242677910402,0.016561427680212692,0.011966475729251332,-0.03696989706353037,-1.6592190053142495,-0.06252387157127776,0.03913706391024157,-0.04726086331010064
1630597757179654589,-1306.348647211197,1023.9083251831865,1.6930790130831344,-5.534572919130686,4.539323040423448,0.07658834836525893,0.012808432078356927,-0.03198786511419367,-1.652536402959266,-0.06321454021186201,0.010760929012189578,-0.06272242731028425
1630597757283297255,-1306.9251457296975,1024.3871381855106,1.6989378592250468,-5.603189720115894,4.698904595886434,0.039570091270839595,0.01361880666229561,-0.027799734278712386,-1.6457210905520783,-0.06509669674603805,0.01794374770228955,-0.07874645657935618
1630597757386927244,-1307.5055603229737,1024.8812631103058,1.7017086612996055,-5.6219761711016325,4.83631664153481,0.012025032046791955,0.014882046951229064,-0.026243816976352915,-1.6389796240697914,-0.06459857624605975,-0.004595978589333508,-0.0003423197386135577
1630597757490547255,-1308.0950716611794,1025.3882599360522,1.6986615367458722,-5.7163628748046715,4.991958771204838,-0.038188413179571015,0.013035473132144825,-0.024829722297550507,-1.6317540702859317,-0.07077142485909038,0.029292388395969385,0.007403780365685635
1630597757594184925,-1308.6925948413375,1025.9103922307963,1.6947480858080366,-5.796744521977024,5.089863700855312,-0.02379613628784803,0.013445273764442173,-0.026490830362648293,-1.6240063929777298,-0.06867509082175503,0.013047832162841166,0.04852202514396986
1630597757697828595,-1309.2986493656945,1026.4459158087197,1.6938945273822785,-5.896931317383598,5.244986673858523,0.011424910585210257,0.00975666468491309,-0.028359438786012343,-1.6169060672499247,-0.060142384636105835,-0.023348628965489625,0.00376585341192906
